,date,quote,explanation
16,2017-02-06,"It's gotten to a point where it is not even being reported. And in many cases, the very, very dishonest press doesn't want to report it.Ó(Terrorism has been reported on, often in detail.)","(Terrorism has been reported on, often in detail.)"
17,2017-02-06,The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!Ó(It didn't apologize.),(It didn't apologize.)
18,2017-02-06,"And the previous administration allowed it to happen because we shouldn't have been in Iraq, but we shouldn't have gotten out the way we got out. It created a vacuum, ISIS was formed.Ó(The group's origins date to 2004.)",(The group's origins date to 2004.)
19,2017-02-07,"And yet the murder rate in our country is the highest it's been in 47 years, right? Did you know that? Forty-seven years.Ó(It was higher in the 1980s and '90s.)",(It was higher in the 1980s and '90s.)
20,2017-02-07,"I saved more than $600 million. I got involved in negotiation on a fighter jet, the F-35.Ó(The Defense Department projected this price drop before Trump took office.)",(The Defense Department projected this price drop before Trump took office.)
21,2017-02-09,"Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave Ôservice' in Vietnam. FAKE NEWS!Ó(It was part of Cuomo's first question.)",None
22,2017-02-09,now misrepresents what Judge Gorsuch told him?Ó(The Gorsuch comments were later corroborated.),(The Gorsuch comments were later corroborated.)
23,2017-02-10,I don't know about it. I haven't seen it. What report is that?Ó(Trump knew about Flynn's actions for weeks.),(Trump knew about Flynn's actions for weeks.)
24,2017-02-12,Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!Ó(The media did cover it.),(The media did cover it.)
25,2017-02-16,"We got 306 because people came out and voted like they've never seen before so that's the way it goes. I guess it was the biggest Electoral College win since Ronald Reagan.Ó(George H.W. Bush, Bill Clinton and Barack Obama all won bigger margins in the Electoral College.)","(George H.W. Bush, Bill Clinton and Barack Obama all won bigger margins in the Electoral College.)"
26,2017-02-16,That's the other thing that was wrong with the travel ban. You had Delta with a massive problem with their computer system at the airports.Ó(Delta's problems happened two days later.),(Delta's problems happened two days later.)
27,2017-02-16,"Walmart announced it will create 10,000 jobs in the United States just this year because of our various plans and initiatives.Ó(The jobs are a result of its investment plans announced in October 2016.)",(The jobs are a result of its investment plans announced in October 2016.)
28,2017-02-16,"When WikiLeaks, which I had nothing to do with, comes out and happens to give, they're not giving classified information.Ó(Not always. They have released classified information in the past.)",(Not always. They have released classified information in the past.)
29,2017-02-16,We had a very smooth rollout of the travel ban. But we had a bad court. Got a bad decision.Ó(The rollout was chaotic.),(The rollout was chaotic.)
30,2017-02-16,"They're giving stuff — what was said at an office about Hillary cheating on the debates. Which, by the way, nobody mentions. Nobody mentions that Hillary received the questions to the debates.Ó(It was widely covered.)",(It was widely covered.)
31,2017-02-18,"And there was no way to vet those people. There was no documentation. There was no nothing.Ó(Refugees receive multiple background checks, taking up to two years.)","(Refugees receive multiple background checks, taking up to two years.)"
32,2017-02-18,"You look at what's happening in Germany, you look at what's happening last night in Sweden. Sweden, who would believe this?Ó(Trump implied there was a terror attack in Sweden, but there was no such attack.)","(Trump implied there was a terror attack in Sweden, but there was no such attack.)"
33,2017-02-24,"By the way, you folks are in here — this place is packed, there are lines that go back six blocks.Ó(There was no evidence of long lines.)",(There was no evidence of long lines.)
34,2017-02-24,ICE came and endorsed me.Ó(Only its union did.),None
35,2017-02-24,"Obamacare covers very few people — and remember, deduct from the number all of the people that had great health care that they loved that was taken away from them — it was taken away from them.Ó(Obamacare increased coverage by a net of about 20 million.)",(Obamacare increased coverage by a net of about 20 million.)
36,2017-02-27,"Since Obamacare went into effect, nearly half of the insurers are stopped and have stopped from participating in the Obamacare exchanges.Ó(Many fewer pulled out.)",(Many fewer pulled out.)
37,2017-02-27,"On one plane, on a small order of one plane, I saved $725 million. And I would say I devoted about, if I added it up, all those calls, probably about an hour. So I think that might be my highest and best use.Ó(Much of the price cut was already projected.)",(Much of the price cut was already projected.)
38,2017-02-28,"And now, based on our very strong and frank discussions, they are beginning to do just that.Ó(NATO countries agreed to meet defense spending requirements in 2014.)",(NATO countries agreed to meet defense spending requirements in 2014.)
39,2017-02-28,The E.P.A.'s regulators were putting people out of jobs by the hundreds of thousands.Ó(There's no evidence that the Waters of the United States rule caused severe job losses.),(There's no evidence that the Waters of the United States rule caused severe job losses.)
40,2017-02-28,We have begun to drain the swamp of government corruption by imposing a five-year ban on lobbying by executive branch officials.Ó(They can't lobby their former agency but can still become lobbyists.),(They can't lobby their former agency but can still become lobbyists.)
41,2017-03-03,It is so pathetic that the Dems have still not approved my full Cabinet.Ó(Paperwork for the last two candidates was still not submitted to the Senate.),(Paperwork for the last two candidates was still not submitted to the Senate.)
42,2017-03-04,Terrible! Just found out that Obama had my Ôwires tapped' in Trump Tower just before the victory. Nothing found. This is McCarthyism!Ó(There's no evidence of a wiretap.),(There's no evidence of a wiretap.)
43,2017-03-04,How low has President Obama gone to tap my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!Ó(There's no evidence of a wiretap.),None
44,2017-03-07,"122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!Ó(113 of them were released by President George W. Bush.)",(113 of them were released by President George W. Bush.)
45,2017-03-13,"I saved a lot of money on those jets, didn't I? Did I do a good job? More than $725 million on them.Ó(Much of the cost cuts were planned before Trump.)",(Much of the cost cuts were planned before Trump.)
46,2017-03-13,"First of all, it covers very few people.Ó(About 20 million people gained insurance under Obamacare.)",(About 20 million people gained insurance under Obamacare.)
47,2017-03-15,"On the airplanes, I saved $725 million. Probably took me a half an hour if you added up all of the times.Ó(Much of the cost cuts were planned before Trump.)",(Much of the cost cuts were planned before Trump.)
48,2017-03-17,"I was in Tennessee — I was just telling the folks — and half of the state has no insurance company, and the other half is going to lose the insurance company.Ó(There's at least one insurer in every Tennessee county.)",(There's at least one insurer in every Tennessee county.)
49,2017-03-20,"With just one negotiation on one set of airplanes, I saved the taxpayers of our country over $700 million.Ó(Much of the cost cuts were planned before Trump.)",(Much of the cost cuts were planned before Trump.)
50,2017-03-21,"To save taxpayer dollars, I've already begun negotiating better contracts for the federal government — saving over $700 million on just one set of airplanes of which there are many sets.Ó(Much of the cost cuts were planned before Trump.)",(Much of the cost cuts were planned before Trump.)
51,2017-03-22,"I make the statement, everyone goes crazy. The next day they have a massive riot, and death, and problems.Ó(Riots in Sweden broke out two days later and there were no deaths.)",(Riots in Sweden broke out two days later and there were no deaths.)
52,2017-03-22,"NATO, obsolete, because it doesn't cover terrorism. They fixed that.Ó(It has fought terrorism since the 1980s.)",(It has fought terrorism since the 1980s.)
53,2017-03-22,"Well, now, if you take a look at the votes, when I say that, I mean mostly they register wrong — in other words, for the votes, they register incorrectly and/or illegally. And they then vote. You have tremendous numbers of people.Ó(There's no evidence of widespread voter fraud.)",(There's no evidence of widespread voter fraud.)
54,2017-03-29,"Remember when the failing @nytimes apologized to its subscribers, right after the election, because their coverage was so wrong. Now worse!Ó(It didn't apologize.)",(It didn't apologize.)
55,2017-03-31,"We have a lot of plants going up now in Michigan that were never going to be there if I — if I didn't win this election, those plants would never even think about going back. They were gone.Ó(These investments were already planned.)",(These investments were already planned.)
56,2017-04-02,"And I was totally opposed to the war in the Middle East which I think finally has been proven, people tried very hard to say I wasn't but you've seen that it is now improving.Ó(He was for an invasion before he was against it.)",(He was for an invasion before he was against it.)
57,2017-04-02,"Now, my last tweet — you know, the one that you are talking about, perhaps — was the one about being, in quotes, wiretapped, meaning surveilled. Guess what, it is turning out to be true.Ó(There is still no evidence.)",(There is still no evidence.)
58,2017-04-05,You have many states coming up where they're going to have no insurance company. O.K.? It's already happened in Tennessee. It's happening in Kentucky. Tennessee only has half coverage. Half the state is gone. They left.Ó(Every marketplace region in Tennessee had at least one insurer.),(Every marketplace region in Tennessee had at least one insurer.)
59,2017-04-06,"If you look at the kind of cost-cutting we've been able to achieve with the military and at the same time ordering vast amounts of equipment — saved hundreds of millions of dollars on airplanes, and really billions, because if you take that out over a period of years it's many billions of dollars — I think we've had a tremendous success.Ó(Much of the price cuts were already projected.)",(Much of the price cuts were already projected.)
60,2017-04-11,"I like Steve, but you have to remember he was not involved in my campaign until very late. I had already beaten all the senators and all the governors, and I didn't know Steve.Ó(He knew Steve Bannon since 2011.)",(He knew Steve Bannon since 2011.)
61,2017-04-12,"You can't do it faster, because they're obstructing. They're obstructionists. So I have people — hundreds of people that we're trying to get through. I mean you have — you see the backlog. We can't get them through.Ó(At this point, he had not nominated anyone for hundreds of positions.)","(At this point, he had not nominated anyone for hundreds of positions.)"
62,2017-04-12,"The New York Times said the word wiretapped in the headline of the first edition. Then they took it out of there fast when they realized.Ó(There were separate headlines for print and web, but neither were altered.)","(There were separate headlines for print and web, but neither were altered.)"
63,2017-04-12,"The secretary general and I had a productive discussion about what more NATO can do in the fight against terrorism. I complained about that a long time ago and they made a change, and now they do fight terrorism.Ó(NATO has been engaged in counterterrorism efforts since the 1980s.)",(NATO has been engaged in counterterrorism efforts since the 1980s.)
64,2017-04-12,Mosul was supposed to last for a week and now they've been fighting it for many months and so many more people died.Ó(The campaign was expected to take months.),(The campaign was expected to take months.)
65,2017-04-16,Someone should look into who paid for the small organized rallies yesterday. The election is over!Ó(There's no evidence of paid protesters.),(There's no evidence of paid protesters.)
66,2017-04-18,"The fake media goes, ÔDonald Trump changed his stance on China.' I haven't changed my stance.Ó(He did.)",(He did.)
67,2017-04-21,"On 90 planes I saved $725 million. It's actually a little bit more than that, but it's $725 million.Ó(Much of the price cuts were already projected.)",(Much of the price cuts were already projected.)
68,2017-04-21,"When WikiLeaks came out É never heard of WikiLeaks, never heard of it.Ó(He criticized it as early as 2010.)",(He criticized it as early as 2010.)
69,2017-04-27,I want to help our miners while the Democrats are blocking their healthcare.Ó(The bill to extend health benefits for certain coal miners was introduced by a Democrat and was co-sponsored by mostly Democrats.),(The bill to extend health benefits for certain coal miners was introduced by a Democrat and was co-sponsored by mostly Democrats.)
70,2017-04-28,"The trade deficit with Mexico is close to $70 billion, even with Canada it's $17 billion trade deficit with Canada.Ó(The U.S. had an $8.1 billion trade surplus, not deficit, with Canada in 2016.)","(The U.S. had an $8.1 billion trade surplus, not deficit, with Canada in 2016.)"
71,2017-04-28,"She's running against someone who's going to raise your taxes to the sky, destroy your health care, and he's for open borders — lots of crime.Ó(Those are not Jon Ossoff's positions.)",(Those are not Jon Ossoff's positions.)
72,2017-04-28,"The F-35 fighter jet program — it was way over budget. I've saved $725 million plus, just by getting involved in the negotiation.Ó(Much of the price cuts were planned before Trump.)",(Much of the price cuts were planned before Trump.)
73,2017-04-29,"They're incompetent, dishonest people who after an election had to apologize because they covered it, us, me, but all of us, they covered it so badly that they felt they were forced to apologize because their predictions were so bad.Ó(The Times did not apologize.)",(The Times did not apologize.)
74,2017-04-29,"As you know, I've been a big critic of China, and I've been talking about currency manipulation for a long time. But I have to tell you that during the election, number one, they stopped.Ó(China stopped years ago.)",(China stopped years ago.)
75,2017-04-29,I've already saved more than $725 million on a simple order of F-35 planes. I got involved in the negotiation.Ó(Much of the price cuts were planned before Trump.),(Much of the price cuts were planned before Trump.)
76,2017-04-29,"We're also getting NATO countries to finally step up and contribute their fair share. They've begun to increase their contributions by billions of dollars, but we are not going to be satisfied until everyone pays what they owe.Ó(The deal was struck in 2014.)",(The deal was struck in 2014.)
77,2017-04-29,"When they talk about currency manipulation, and I did say I would call China, if they were, a currency manipulator, early in my tenure. And then I get there. Number one, they — as soon as I got elected, they stopped.Ó(China stopped in 2014.)",(China stopped in 2014.)
78,2017-04-29,"I was negotiating to reduce the price of the big fighter jet contract, the F-35, which was totally out of control. I will save billions and billions and billions of dollars.Ó(Most of the cuts were planned before Trump.)",(Most of the cuts were planned before Trump.)
79,2017-04-29,I think our side's been proven very strongly. And everybody's talking about it.Ó(There's still no evidence Trump's phones were tapped.),(There's still no evidence Trump's phones were tapped.)
80,2017-05-01,"Well, we are protecting pre-existing conditions. And it'll be every good — bit as good on pre-existing conditions as Obamacare.Ó(The bill weakens protections for people with pre-existing conditions.)",(The bill weakens protections for people with pre-existing conditions.)
81,2017-05-01,"The F-35 fighter jet — I saved — I got involved in the negotiation. It's 2,500 jets. I negotiated for 90 planes, lot 10. I got $725 million off the price.Ó(Much of the price cuts were planned before Trump.)",(Much of the price cuts were planned before Trump.)
82,2017-05-01,"First of all, since I started running, they haven't increased their — you know, they have not manipulated their currency. I think that was out of respect to me and the campaign.Ó(China stopped years ago.)",(China stopped years ago.)
83,2017-05-02,"I love buying those planes at a reduced price. I have been really — I have cut billions — I have to tell you this, and they can check, right, Martha? I have cut billions and billions of dollars off plane contracts sitting here.Ó(Much of the cost cuts were planned before Trump.)",(Much of the cost cuts were planned before Trump.)
84,2017-05-04,"Number two, they're actually not a currency [manipulator]. You know, since I've been talking about currency manipulation with respect to them and other countries, they stopped.Ó(China stopped years ago.)",(China stopped years ago.)
85,2017-05-04,We're the highest-taxed nation in the world.Ó(We're not.),(We're not.)
86,2017-05-04,Nobody cares about my tax return except for the reporters.Ó(Polls show most Americans do care.),(Polls show most Americans do care.)
87,2017-05-08,You know we've gotten billions of dollars more in NATO than we're getting. All because of me.Ó(The deal was struck in 2014.),(The deal was struck in 2014.)
88,2017-05-08,"But when I did his show, which by the way was very highly rated. It was high — highest rating. The highest rating he's ever had.Ó(Colbert's ",(Colbert's 
89,2017-05-08,"Director Clapper reiterated what everybody, including the fake media already knows — there is Ôno evidence' of collusion w/ Russia and Trump.Ó(Clapper only said he wasn't aware of an investigation.)",(Clapper only said he wasn't aware of an investigation.)
90,2017-05-12,"Again, the story that there was collusion between the Russians & Trump campaign was fabricated by Dems as an excuse for losing the election.Ó(The F.B.I. was investigating before the election.)",(The F.B.I. was investigating before the election.)
91,2017-05-12,"When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?Ó(Clapper said he wouldn't have been told of an investigation into collusion.)",(Clapper said he wouldn't have been told of an investigation into collusion.)
92,2017-05-13,I'm cutting the price of airplanes with Lockheed.Ó(The cost cuts were planned before he became president.),(The cost cuts were planned before he became president.)
93,2017-05-26,Just arrived in Italy for the G7. Trip has been very successful. We made and saved the USA many billions of dollars and millions of jobs.Ó(He's referencing an arms deal that's not enacted and other apparent deals that weren't announced on the trip.),(He's referencing an arms deal that's not enacted and other apparent deals that weren't announced on the trip.)
94,2017-06-01,"China will be allowed to build hundreds of additional coal plants. So, we can't build the plants, but they can, according to this agreement. India will be allowed to double its coal production by 2020.Ó(The agreement doesn't allow or disallow building coal plants.)",(The agreement doesn't allow or disallow building coal plants.)
95,2017-06-01,"I've just returned from a trip overseas where we concluded nearly $350 billion of military and economic development for the United States, creating hundreds of thousands of jobs.Ó(Trump's figures are inflated and premature.)",(Trump's figures are inflated and premature.)
96,2017-06-04,At least 7 dead and 48 wounded in terror attack and Mayor of London says there is Ôno reason to be alarmed!'Ó(The mayor was specifically talking about the enlarged police presence on the streets.),(The mayor was specifically talking about the enlarged police presence on the streets.)
97,2017-06-05,"The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C.Ó(Trump signed this version of the travel ban, not the Justice Department.)","(Trump signed this version of the travel ban, not the Justice Department.)"
98,2017-06-21,They all say it's 'nonbinding.' Like hell it's nonbinding.Ó(The Paris climate agreement is nonbinding — and Trump said so in his speech announcing the withdrawal.),(The Paris climate agreement is nonbinding — and Trump said so in his speech announcing the withdrawal.)
99,2017-06-21,"Right now, we are one of the highest-taxed nations in the world.Ó(We're not.)",(We're not.)
